alpha,beta,rho,fitted_exponent
0.5200,0.2000,0.9766,0.031521
0.5200,0.2000,0.9941,0.030604
0.5200,0.2000,1.0000,0.029188
0.5200,0.2533,-1.0000,0.013687
0.5200,0.2533,-0.9941,0.013525
0.5200,0.2533,-0.9766,0.013284
0.5200,0.2533,-0.9477,0.014028
0.5200,0.2533,-0.9076,0.014192
0.5200,0.2533,-0.8569,0.128565
0.5200,0.2533,-0.7961,0.146034
0.5200,0.2533,-0.7260,0.176701
0.5200,0.2533,-0.6474,0.315773
0.5200,0.2533,-0.5612,0.469175
0.5200,0.2533,-0.4684,0.670779
0.5200,0.2533,-0.3701,0.789364
0.5200,0.2533,-0.2675,0.850572
0.5200,0.2533,-0.1618,0.851598
0.5200,0.2533,-0.0541,0.737498
0.5200,0.2533,0.0541,0.232156
0.5200,0.2533,0.1618,0.260632
